 : 35
demon : 1
departure : 2
descendant : 2
described : 2
describes : 1
description : 1
deserted : 1
designed : 1
designer : 1
destination : 1
destiny : 1
destroyed : 3
destructive : 1
determined : 2
devastating : 2
deveau : 1
devils : 1
devote : 1
diamond : 27
diamonds : 1
did : 28
die : 3
died : 16
different : 5
difficult : 2
direct : 1
direction : 1
director : 3
disagree : 2
disappearance : 1
disappearances : 3
disappeared : 9
disappearing : 1
disasters : 1
discover : 1
discovered : 13
discovery : 2
disgusting : 1
display : 2
disturb : 1
division : 1
do : 9
doctor : 3
does : 4
dog : 2
dogs : 1
done : 1
dont : 1
door : 3
down : 4
doyle : 1
dr : 1
dragon : 1
dream : 1
drink : 1
drive : 1
driver : 1
driving : 2
druidism : 1
druids : 2
dug : 2
during : 11
each : 3
early : 5
earth : 3
earthquakes : 2
earths : 1
east : 1
eberhart : 1
eclipses : 1
edmund : 1
effect : 1
egypt : 8
egyptian : 1
egyptians : 2
egyptologist : 2
eighteen : 1
electronic : 1
eleven : 1
eliason : 1
emperor : 2
empire : 3
empty : 1
end : 5
ended : 2
energy : 1
engine : 1
england : 3
english : 2
englishman : 1
enjoyed : 2
enormous : 1
enough : 1
enter : 2
entered : 2
enters : 1
entire : 2
entrance : 1
equipment : 3
eric : 1
error : 1
escape : 1
eschrid : 1
europe : 4
european : 2
evalyn : 1
even : 8
evening : 2
event : 3
events : 2
eventually : 1
ever : 11
everest : 3
every : 3
everyone : 2
everything : 3
everywhere : 2
evidence : 1
evil : 2
exact : 2
exactly : 2
examined : 2
examining : 1
except : 1
exceptional : 2
exciting : 1
exclaimed : 1
executed : 1
exhibition : 4
exist : 1
existed : 1
existence : 1
exists : 4
expedition : 4
experience : 1
experienced : 1
experiences : 1
expert : 1
experts : 5
explain : 4
explained : 8
explanation : 5
exploded : 1
explorer : 1
explorers : 2
exquisite : 1
extensive : 1
extraordinary : 2
extremely : 1
eyes : 1
facial : 1
fact : 2
fair : 1
fake : 1
fallen : 1
family : 3
famous : 10
fascinated : 2
fascinating : 2
fast : 2
fate : 2
favourite : 1
feathers : 1
features : 1
feelings : 1
feet : 3
fell : 2
felt : 1
ferocious : 1
fever : 1
few : 3
field : 2
fifteen : 2
fifty : 1
filled : 1
film : 5
finally : 9
find : 7
finding : 2
fire : 6
first : 16
fit : 1
five : 7
flew : 2
flight : 4
flocks : 1
florida : 2
floridas : 1
flying : 1
followed : 5
food : 1
footprint : 1
footprints : 11
for : 45
force : 1
forest : 3
forests : 1
form : 5
forms : 1
fort : 2
fortunately : 1
fortune : 2
found : 22
four : 3
fourline : 2
fourth : 1
france : 7
frances : 1
francis : 1
frankel : 1
freeman : 1
french : 8
fresh : 2
friday : 2
friend : 1
friends : 1
frighten : 1
frightened : 1
frightening : 2
from : 27
front : 2
full : 1
funeral : 1
further : 1
future : 8
gaddis : 2
gamal : 1
garage : 3
gas : 1
gave : 6
